Program,Branch_master
"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",
"Production and Industrial Engineering (4 Years, Bachelor of Technology)",Production and Industrial 
"Textile Technology (4 Years, Bachelor of Technology)",
"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Aerospace 
"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",Agricultural and Food 
"Agricultural and Food Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",Agricultural and Food 
"Applied Geology (5 Years, Integrated Master of Science)",
"Architecture (5 Years, Bachelor of Architecture)",
"Biotechnology and Biochemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Biotechnology and Biochemical 
"Chemistry (5 Years, Integrated Master of Science)",
"Civil Engineering with any of the listed specialization (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil 
"Economics (5 Years, Integrated Master of Science)",
"Electrical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical 
"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",Electronics and Electrical Communication 
"Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",Electronics and Electrical Communication 
"Exploration Geophysics (5 Years, Integrated Master of Science)",
"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",Industrial and Systems 
"Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",Industrial and Systems 
"Instrumentation Engineering (4 Years, Bachelor of Technology)",Instrumentation 
"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",Manufacturing Science and 
"Manufacturing Science and Engineering with M.Tech. in Industrial and Systems Engineering and Management (5 Years, Bachelor and Master of Technology (Dual Degree))",Manufacturing Science and 
"Mathematics and Computing (5 Years, Integrated Master of Science)",
"Mechanical Engineering with M.Tech. in any of the listed specializations (5 Years, Bachelor and Master of Technology (Dual Degree))",Mechanical 
"Mining Engineering (4 Years, Bachelor of Technology)",Mining 
"Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mining 
"Mining Safety Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mining Safety 
"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",Ocean 
"Ocean Engineering and Naval Architecture (5 Years, Bachelor and Master of Technology (Dual Degree))",Ocean 
"Physics (5 Years, Integrated Master of Science)",
"Quality Engineering Design and Manufacturing (5 Years, Bachelor and Master of Technology (Dual Degree))",Quality 
"Artificial Intelligence (4 Years, Bachelor of Technology)",
"Biomedical Engineering (4 Years, Bachelor of Technology)",Biomedical 
"Engineering Science (4 Years, Bachelor of Technology)",
"Materials Science and Metallurgical Engineering (4 Years, Bachelor of Technology)",Materials Science and Metallurgical 
"Artificial Intelligence and Data Science (4 Years, Bachelor of Technology)",
"Bio Engineering (4 Years, Bachelor of Technology)",Bio 
"Civil and Infrastructure Engineering (4 Years, Bachelor of Technology)",Civil and Infrastructure 
"Biological Sciences and Bioengineering (4 Years, Bachelor of Technology)",
"Earth Sciences (4 Years, Bachelor of Science)",
"Materials Science and Engineering (4 Years, Bachelor of Technology)",Materials Science and 
"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",
"Physics (4 Years, Bachelor of Science)",
"Biological Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Biological 
"Biological Sciences (5 Years, Bachelor of Science and Master of Science (Dual Degree))",
"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",
"Naval Architecture and Ocean Engineering (4 Years, Bachelor of Technology)",Naval Architecture and Ocean 
"Physics (5 Years, Bachelor of Science and Master of Science (Dual Degree))",
"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",Electrical and Electronics 
"Applied Mathematics (5 Years, Integrated Master of Science)",
"Bio Technology (4 Years, Bachelor of Technology)",
"Geological Technology (5 Years, Integrated Master of Technology)",
"Geophysical Technology (5 Years, Integrated Master of Technology)",
"Polymer Science and Engineering (4 Years, Bachelor of Technology)",Polymer Science and 
"Applied Geology (5 Years, Integrated Master of Technology)",
"Applied Geophysics (5 Years, Integrated Master of Technology)",
"Environmental Engineering (4 Years, Bachelor of Technology)",Environmental 
"Mathematics and Computing (5 Years, Integrated Master of Technology)",
"Mineral and Metallurgical Engineering (4 Years, Bachelor of Technology)",Mineral and Metallurgical 
"Mining Machinery Engineering (4 Years, Bachelor of Technology)",Mining Machinery 
"Petroleum Engineering (4 Years, Bachelor of Technology)",Petroleum 
"Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",Biochemical 
"Bioengineering with M.Tech in Biomedical Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",
"Ceramic Engineering (4 Years, Bachelor of Technology)",Ceramic 
"Ceramic Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Ceramic 
"Civil Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Civil 
"Electrical Engineering with M.Tech. in Power Electronics (5 Years, Bachelor and Master of Technology (Dual Degree))",Electrical 
"Electronics Engineering (4 Years, Bachelor of Technology)",Electronics 
"Engineering Physics (5 Years, Bachelor and Master of Technology (Dual Degree))",
"Industrial Chemistry (5 Years, Bachelor and Master of Technology (Dual Degree))",
"Materials Science and Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",
"Mechanical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mechanical 
"Metallurgical Engineering (4 Years, Bachelor of Technology)",Metallurgical 
"Metallurgical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Metallurgical 
"Pharmaceutical Engineering & Technology (4 Years, Bachelor of Technology)",Pharmaceutical 
"Pharmaceutical Engineering & Technology (5 Years, Bachelor and Master of Technology (Dual Degree))",Pharmaceutical 
"Biosciences and Bioengineering (4 Years, Bachelor of Technology)",
"Chemical Science and Technology (4 Years, Bachelor of Technology)",
"Electronics and Electrical Engineering (4 Years, Bachelor of Technology)",Electronics and Electrical 
"Data Science and Artificial Intelligence (4 Years, Bachelor of Technology)",
"Industrial and Production Engineering (4 Years, Bachelor of Technology)",Industrial and Production 
"Information Technology (4 Years, Bachelor of Technology)",
"Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",Instrumentation and Control 
"Planning (4 Years, Bachelor of Planning)",
"Chemistry (5 Years, Bachelor of Science and Master of Science (Dual Degree))",
"Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",Electronics and Instrumentation 
"Mathematics & Computing (5 Years, Bachelor of Science and Master of Science (Dual Degree))",
"Production Engineering (4 Years, Bachelor of Technology)",Production 
"Biotechnology (5 Years, Bachelor and Master of Technology (Dual Degree))",
"Electronics and Communication Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Electronics and Communication 
"Bio Medical Engineering (4 Years, Bachelor of Technology)",Bio Medical 
"Computer Engineering (4 Years, Bachelor of Technology)",Computer 
"Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree))",Ceramic 
"Food Process Engineering (4 Years, Bachelor of Technology)",Food Process 
"Industrial Design (4 Years, Bachelor of Technology)",
"Life Science (5 Years, Integrated Master of Science)",
"Mathematics (5 Years, Integrated Master of Science)",
"Architecture, Town and Regional Planning (5 Years, Bachelor of Architecture)",
"Electronics and Telecommunication Engineering (4 Years, Bachelor of Technology)",Electronics and Telecommunication 
"Metallurgy and Materials Engineering (4 Years, Bachelor of Technology)",Metallurgy and Materials 
"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech. /MBA)",
"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and M. Tech. /MBA)",
"Information Technology-Business Informatics (4 Years, Bachelor of Technology)",
"Smart Manufacturing (4 Years, Bachelor of Technology)",
"Computer Science (4 Years, Bachelor of Technology)",
"Computer Science and Artificial Intelligence (4 Years, Bachelor of Technology)",
"Electronics and Communication Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)",Electronics and Communication 
"Mechanical Engineering with specialization in Design and Manufacturing (4 Years, Bachelor of Technology)",Mechanical 
"Mechatronics Engineering (4 Years, Bachelor of Technology)",Mechatronics 
"Agricultural Engineering (4 Years, Bachelor of Technology)",Agricultural 
"Chemical Engineering (Plastic and Polymer) (4 Years, Bachelor of Technology)",Chemical 
"Carpet and Textile Technology (4 Years, Bachelor of Technology)",
"Electronics System Engineering (4 Years, Bachelor of Technology)",Electronics System 
"Food Technology (4 Years, Bachelor of Technology)",
"Food Engineering and Technology (4 Years, Bachelor of Technology)",Food 
"Electrical and Instrumentation Engineering (4 Years, Bachelor of Technology)",Electrical and Instrumentation 
"Computer Science (5 Years, Integrated Master of Technology)",
"Computer Science & Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",Computer Science & 
"Electronics & Communication Engineering (5 Years, B.Tech. + M.Tech./MS (Dual Degree))",Electronics & Communication 
"Food Technology and Management (4 Years, Bachelor of Technology)",
